1537,1424,1379
1379,1253,1208
1424,1253,1379
1424,1317,1253
1208,1027,1104
1104,866,1038
1027,866,1104
1027,883,866
1317,1119,1253
1253,1027,1208
1119,1027,1253
1119,883,1027
1317,1166,1119
1119,988,883
1166,988,1119
1166,1080,988
1038,787,1046
1046,829,1130
787,829,1046
787,622,829
1130,924,1251
1251,1071,1319
924,1071,1251
924,748,1071
622,660,829
829,924,1130
660,924,829
660,748,924
622,514,660
660,468,748
514,468,660
514,387,468
1080,925,988
988,793,883
925,793,988
925,710,793
883,719,866
866,787,1038
719,787,866
719,622,787
710,641,793
793,719,883
641,719,793
641,622,719
710,561,641
641,514,622
561,514,641
561,387,514
1080,1137,925
925,946,710
1137,946,925
1137,1187,946
710,721,561
561,502,387
721,502,561
721,652,502
1187,907,946
946,721,710
907,721,946
907,652,721
1187,1132,907
907,896,652
1132,896,907
1132,1136,896
1319,1172,1131
1131,996,856
1172,996,1131
1172,1022,996
856,715,627
627,459,408
715,459,627
715,544,459
1022,783,996
996,715,856
783,715,996
783,544,715
1022,909,783
783,663,544
909,663,783
909,811,663
408,264,304
304,219,378
264,219,304
264,148,219
378,425,574
574,604,583
425,604,574
425,512,604
148,243,219
219,425,378
243,425,219
243,512,425
148,143,243
243,314,512
143,314,243
143,199,314
811,633,663
663,443,544
633,443,663
633,382,443
544,283,459
459,264,408
283,264,459
283,148,264
382,200,443
443,283,544
200,283,443
200,148,283
382,162,200
200,143,148
162,143,200
162,199,143
811,747,633
633,497,382
747,497,633
747,637,497
382,233,162
162,144,199
233,144,162
233,158,144
637,368,497
497,233,382
368,233,497
368,158,233
637,552,368
368,270,158
552,270,368
552,490,270
1136,864,896
896,650,652
864,650,896
864,621,650
652,465,502
502,312,387
465,312,502
465,294,312
621,553,650
650,465,652
553,465,650
553,294,465
621,393,553
553,466,294
393,466,553
393,281,466
387,473,468
468,635,748
473,635,468
473,746,635
748,881,1071
1071,1172,1319
881,1172,1071
881,1022,1172
746,895,635
635,881,748
895,881,635
895,1022,881
746,944,895
895,909,1022
944,909,895
944,811,909
281,421,466
466,353,294
421,353,466
421,632,353
294,446,312
312,473,387
446,473,312
446,746,473
632,670,353
353,446,294
670,446,353
670,746,446
632,865,670
670,944,746
865,944,670
865,811,944
281,336,421
421,614,632
336,614,421
336,472,614
632,814,865
865,747,811
814,747,865
814,637,747
472,737,614
614,814,632
737,814,614
737,637,814
472,599,737
737,552,637
599,552,737
599,490,552
1136,954,864
864,735,621
954,735,864
954,792,735
621,452,393
393,222,281
452,222,393
452,330,222
792,609,735
735,452,621
609,452,735
609,330,452
792,685,609
609,475,330
685,475,609
685,483,475
281,150,336
336,209,472
150,209,336
150,82,209
472,363,599
599,469,490
363,469,599
363,265,469
82,129,209
209,363,472
129,363,209
129,265,363
82,33,129
129,100,265
33,100,129
33,31,100
483,328,475
475,204,330
328,204,475
328,124,204
330,151,222
222,150,281
151,150,222
151,82,150
124,74,204
204,151,330
74,151,204
74,82,151
124,26,74
74,33,82
26,33,74
26,31,33
483,266,328
328,193,124
266,193,328
266,173,193
124,76,26
26,21,31
76,21,26
76,62,21
173,153,193
193,76,124
153,76,193
153,62,76
173,272,153
153,169,62
272,169,153
272,405,169
1537,1379,1566
1566,1393,1586
1379,1393,1566
1379,1208,1393
1586,1468,1592
1592,1555,1493
1468,1555,1592
1468,1425,1555
1208,1276,1393
1393,1468,1586
1276,1468,1393
1276,1425,1468
1208,1104,1276
1276,1231,1425
1104,1231,1276
1104,1038,1231
1493,1442,1482
1482,1437,1533
1442,1437,1482
1442,1491,1437
1533,1557,1580
1580,1621,1681
1557,1621,1580
1557,1654,1621
1491,1576,1437
1437,1557,1533
1576,1557,1437
1576,1654,1557
1491,1611,1576
1576,1645,1654
1611,1645,1576
1611,1607,1645
1038,1237,1231
1231,1384,1425
1237,1384,1231
1237,1433,1384
1425,1535,1555
1555,1442,1493
1535,1442,1555
1535,1491,1442
1433,1545,1384
1384,1535,1425
1545,1535,1384
1545,1491,1535
1433,1589,1545
1545,1611,1491
1589,1611,1545
1589,1607,1611
1038,1046,1237
1237,1288,1433
1046,1288,1237
1046,1130,1288
1433,1488,1589
1589,1552,1607
1488,1552,1589
1488,1494,1552
1130,1368,1288
1288,1488,1433
1368,1488,1288
1368,1494,1488
1130,1251,1368
1368,1391,1494
1251,1391,1368
1251,1319,1391
1681,1648,1741
1741,1572,1677
1648,1572,1741
1648,1418,1572
1677,1466,1625
1625,1512,1699
1466,1512,1625
1466,1348,1512
1418,1333,1572
1572,1466,1677
1333,1466,1572
1333,1348,1466
1418,1192,1333
1333,1141,1348
1192,1141,1333
1192,1019,1141
1699,1666,1816
1816,1814,1939
1666,1814,1816
1666,1695,1814
1939,1718,1716
1716,1450,1445
1718,1450,1716
1718,1530,1450
1695,1736,1814
1814,1718,1939
1736,1718,1814
1736,1530,1718
1695,1724,1736
1736,1603,1530
1724,1603,1736
1724,1644,1603
1019,1188,1141
1141,1336,1348
1188,1336,1141
1188,1413,1336
1348,1492,1512
1512,1666,1699
1492,1666,1512
1492,1695,1666
1413,1549,1336
1336,1492,1348
1549,1492,1336
1549,1695,1492
1413,1624,1549
1549,1724,1695
1624,1724,1549
1624,1644,1724
1019,1209,1188
1188,1261,1413
1209,1261,1188
1209,1260,1261
1413,1476,1624
1624,1630,1644
1476,1630,1624
1476,1526,1630
1260,1337,1261
1261,1476,1413
1337,1476,1261
1337,1526,1476
1260,1245,1337
1337,1378,1526
1245,1378,1337
1245,1256,1378
1319,1190,1391
1391,1280,1494
1190,1280,1391
1190,1003,1280
1494,1375,1552
1552,1420,1607
1375,1420,1552
1375,1199,1420
1003,1078,1280
1280,1375,1494
1078,1375,1280
1078,1199,1375
1003,822,1078
1078,939,1199
822,939,1078
822,1004,939
1607,1455,1645
1645,1511,1654
1455,1511,1645
1455,1313,1511
1654,1573,1621
1621,1648,1681
1573,1648,1621
1573,1418,1648
1313,1352,1511
1511,1573,1654
1352,1573,1511
1352,1418,1573
1313,1142,1352
1352,1192,1418
1142,1192,1352
1142,1019,1192
1004,1169,939
939,1093,1199
1169,1093,939
1169,1177,1093
1199,1258,1420
1420,1455,1607
1258,1455,1420
1258,1313,1455
1177,1108,1093
1093,1258,1199
1108,1258,1093
1108,1313,1258
1177,1179,1108
1108,1142,1313
1179,1142,1108
1179,1019,1142
1004,1201,1169
1169,1341,1177
1201,1341,1169
1201,1397,1341
1177,1347,1179
1179,1209,1019
1347,1209,1179
1347,1260,1209
1397,1408,1341
1341,1347,1177
1408,1347,1341
1408,1260,1347
1397,1350,1408
1408,1245,1260
